"Time","Probe-1","Probe-2","Probe-3","Probe-4"
2023-04-25 10:36:00,24.5,23.9,24.1,23.8
2023-04-25 10:38:00,26.3,25.0,25,23.7
2023-04-25 10:40:00,27.9,26.8,26.7,23.5
2023-04-25 10:42:00,29.4,28.3,28.2,23.4
2023-04-25 10:44:00,31.0,29.9,29.8,23.4
2023-04-25 10:46:00,32.5,31.4,31.4,23.4
2023-04-25 10:48:00,33.9,32.9,32.9,23.4
2023-04-25 10:50:00,35.3,34.3,34.4,23.4
2023-04-25 10:52:00,36.6,35.9,35.8,23.4
2023-04-25 10:54:00,38.5,37.2,37.2,23.4
2023-04-25 10:56:00,40.0,38.9,38.7,23.4
2023-04-25 10:58:00,41.0,40.5,40.2,23.4
2023-04-25 11:00:00,42.6,41.8,41.6,23.5
2023-04-25 11:02:00,43.6,43.2,42.9,23.5
2023-04-25 11:04:00,44.6,44.1,44.0,23.5
2023-04-25 11:06:00,46.4,45.8,46.1,23.4
2023-04-25 11:08:00,48.9,47.2,47.4,23.4
2023-04-25 11:10:00,50.2,49.4,49.3,23.4
2023-04-25 11:12:00,51.7,50.8,50.7,23.4
2023-04-25 11:14:00,53.1,52.3,51.9,23.4
2023-04-25 11:16:00,54.3,53.7,53.6,23.4
2023-04-25 11:18:00,55.8,54.8,54.8,23.3
2023-04-25 11:20:00,57.2,56.4,56.0,23.3
2023-04-25 11:22:00,58.7,57.2,57.7,23.3
2023-04-25 11:24:00,59.7,59.4,59.3,23.4
2023-04-25 11:26:00,61.5,60.6,60.7,23.3
2023-04-25 11:28:00,62.7,62.0,61.8,23.4
2023-04-25 11:30:00,63.0,62.7,62.6,23.3
2023-04-25 11:32:00,62.7,62.4,62.2,23.3
2023-04-25 11:34:00,62.3,62.5,62.1,23.4
2023-04-25 11:36:00,62.7,62.1,61.5,23.3
2023-04-25 11:38:00,62.3,62.0,62.2,23.3
2023-04-25 11:40:00,62.2,61.9,62.5,23.3
2023-04-25 11:42:00,62.1,62.1,62.2,23.4
2023-04-25 11:44:00,61.8,61.5,61.8,23.4
2023-04-25 11:46:00,62.6,62.1,62.0,23.4
2023-04-25 11:48:00,61.0,61.5,61.2,23.3
2023-04-25 11:50:00,61.9,62.1,61.6,23.3
2023-04-25 11:52:00,62.1,61.7,61.2,23.3
2023-04-25 11:54:00,61.6,61.4,60.5,23.5
2023-04-25 11:56:00,61.3,61.1,61.3,23.5
2023-04-25 11:58:00,61.6,61.4,61.2,23.6
2023-04-25 12:00:00,61.7,61.0,60.9,23.4
2023-04-25 12:02:00,61.0,61.0,61.0,23.4
2023-04-25 12:04:00,61.3,61.3,61.4,23.5
2023-04-25 12:06:00,61.2,61.0,60.6,23.4
2023-04-25 12:08:00,60.9,60.8,60.8,23.5
2023-04-25 12:10:00,61.3,61.3,60.7,23.4
